,Unnamed: 0,index,image_name,color,pixel_count,number_of_colors,first_color,percent_1,second_color,percent_2,third_color,percent_3,fourth_color,percent_4,fifth_color,percent_5
0,0,151,2,"[((0, 0, 0), 170012), ((137, 141, 144), 130866), ((255, 255, 255), 130011), ((255, 69, 0), 113519), ((36, 80, 164), 106547), ((255, 214, 53), 86027), ((156, 105, 38), 82587), ((0, 163, 104), 45192), ((255, 153, 170), 31786), ((81, 233, 244), 25835), ((129, 30, 159), 18352), ((126, 237, 86), 15523), ((255, 233, 148), 10265), ((80, 22, 0), 9293), ((129, 75, 94), 5358), ((8, 63, 43), 5138), ((170, 46, 0), 4967), ((40, 149, 199), 2196), ((148, 184, 69), 2032), ((255, 140, 97), 1512), ((196, 96, 165), 1130), ((255, 150, 0), 627), ((42, 10, 52), 594), ((113, 126, 69), 337), ((36, 66, 90), 165), ((167, 215, 172), 88), ((189, 46, 82), 29), ((217, 184, 228), 12)]",1000000,28.0,"(0, 0, 0)",17.0012,"(137, 141, 144)",0.130866,"(255, 255, 255)",0.130011,"(255, 69, 0)",0.113519,"(36, 80, 164)",0.106547
1,1,153,3,"[((227, 234, 241), 773158), ((0, 0, 0), 389733), ((108, 108, 108), 13496), ((130, 180, 227), 5911), ((1, 105, 219), 2736), ((255, 0, 0), 721), ((97, 0, 186), 596), ((136, 69, 93), 411), ((137, 131, 49), 304), ((161, 0, 0), 280), ((33, 71, 114), 214), ((203, 178, 0), 148), ((43, 37, 117), 90), ((0, 163, 68), 60), ((183, 102, 189), 37), ((69, 0, 0), 29), ((224, 112, 0), 20), ((0, 212, 0), 16), ((195, 36, 80), 10), ((102, 213, 161), 9), ((205, 142, 115), 6), ((155, 197, 81), 5), ((244, 131, 173), 5), ((232, 0, 162), 4), ((197, 204, 154), 1)]",1188000,25.0,"(227, 234, 241)",65.08063973063973,"(0, 0, 0)",0.3280580808080808,"(108, 108, 108)",0.0113602693602693,"(130, 180, 227)",0.0049755892255892,"(1, 105, 219)",0.0023030303030303
2,2,117,4,"[((154, 145, 46), 619738), ((124, 125, 113), 310697), ((14, 14, 14), 14839), ((70, 66, 21), 2497), ((220, 150, 0), 1818), ((88, 25, 26), 1773), ((229, 229, 229), 1322), ((170, 0, 0), 945), ((241, 216, 147), 34), ((201, 98, 97), 23), ((255, 0, 0), 14)]",953700,11.0,"(154, 145, 46)",64.98248925238545,"(124, 125, 113)",0.3257806438083254,"(14, 14, 14)",0.0155594002306805,"(70, 66, 21)",0.0026182237600922,"(220, 150, 0)",0.0019062598301352
3,3,121,5,"[((255, 255, 255), 28438520), ((204, 188, 113), 849928), ((151, 101, 54), 595188), ((89, 89, 89), 566726), ((90, 131, 178), 73607), ((192, 164, 150), 2291), ((104, 40, 42), 18), ((71, 52, 105), 8)]",30526286,8.0,"(255, 255, 255)",93.16075987756912,"(204, 188, 113)",0.0278424961359531,"(151, 101, 54)",0.0194975569579607,"(89, 89, 89)",0.0185651801860206,"(90, 131, 178)",0.0024112661461666
4,4,138,6,"[((255, 255, 255), 161419), ((106, 0, 53), 67370), ((249, 185, 0), 53909), ((51, 51, 51), 5193), ((141, 141, 141), 1098), ((253, 235, 173), 624), ((171, 102, 136), 67)]",289680,7.0,"(255, 255, 255)",55.723211819939245,"(106, 0, 53)",0.2325669704501519,"(249, 185, 0)",0.1860984534658934,"(51, 51, 51)",0.0179266777133388,"(141, 141, 141)",0.0037903893951946
5,5,134,7,"[((255, 255, 255), 693428), ((56, 168, 71), 34506), ((241, 205, 17), 24237), ((51, 51, 51), 12406), ((128, 128, 128), 6144), ((241, 71, 77), 6097), ((70, 118, 171), 5610), ((185, 115, 162), 386), ((147, 205, 150), 384), ((32, 91, 39), 356), ((123, 104, 17), 307), ((246, 224, 126), 214), ((148, 44, 47), 126), ((251, 179, 181), 119)]",784320,14.0,"(255, 255, 255)",88.41136270909833,"(56, 168, 71)",0.0439947980416156,"(241, 205, 17)",0.0309019277845777,"(51, 51, 51)",0.0158175234598123,"(128, 128, 128)",0.0078335373317013
6,6,34,8,"[((45, 45, 45), 174823), ((255, 0, 0), 13436), ((0, 176, 80), 6200), ((255, 255, 255), 6038), ((255, 192, 0), 4689), ((0, 112, 192), 2338), ((161, 161, 161), 1378), ((255, 230, 153), 471), ((215, 66, 46), 107), ((139, 139, 62), 88), ((120, 56, 56), 58), ((28, 94, 58), 31), ((45, 106, 129), 7)]",209664,13.0,"(45, 45, 45)",83.38245955433456,"(255, 0, 0)",0.0640834859584859,"(0, 176, 80)",0.0295711233211233,"(255, 255, 255)",0.0287984584859584,"(255, 192, 0)",0.0223643543956043
7,7,39,9,"[((0, 0, 0), 3005741), ((255, 255, 255), 72596), ((110, 110, 110), 32086), ((37, 94, 145), 19021), ((255, 192, 0), 10238), ((244, 177, 131), 9495), ((158, 72, 14), 9338), ((112, 173, 71), 8834), ((83, 62, 0), 1737), ((169, 127, 0), 131), ((142, 168, 125), 11), ((157, 177, 213), 2)]",3169230,12.0,"(0, 0, 0)",94.84136525275856,"(255, 255, 255)",0.0229065104142015,"(110, 110, 110)",0.0101242257583072,"(37, 94, 145)",0.0060017733014012,"(255, 192, 0)",0.0032304376772906
8,8,70,10,"[((29, 29, 29), 54727991), ((193, 193, 193), 2466764), ((113, 125, 167), 1031614), ((18, 145, 116), 447547), ((239, 135, 108), 434183), ((230, 51, 73), 249422), ((113, 181, 62), 51062), ((53, 179, 202), 43041), ((254, 227, 36), 41811), ((98, 18, 19), 21689), ((238, 163, 9), 7952), ((50, 60, 131), 7319), ((123, 135, 71), 1969), ((183, 108, 129), 1065), ((220, 249, 195), 957), ((19, 52, 0), 215), ((240, 208, 121), 192), ((61, 110, 241), 78), ((112, 84, 63), 69), ((139, 92, 0), 23), ((204, 79, 13), 13), ((18, 91, 98), 9), ((71, 10, 51), 8), ((242, 20, 139), 5), ((181, 245, 61), 1), ((255, 183, 238), 1)]",59535000,26.0,"(29, 29, 29)",91.92574284034602,"(193, 193, 193)",0.0414338456370202,"(113, 125, 167)",0.0173278575627781,"(18, 145, 116)",0.0075173763332493,"(239, 135, 108)",0.0072929033341731
9,9,69,11,"[((0, 0, 0), 479044), ((59, 0, 0), 34510), ((122, 0, 0), 11103), ((255, 0, 0), 6052), ((255, 170, 111), 1478), ((255, 114, 0), 1454), ((127, 81, 59), 1212), ((253, 255, 192), 643), ((255, 197, 0), 520), ((165, 85, 0), 387), ((252, 255, 0), 48), ((182, 157, 150), 40), ((136, 139, 71), 32), ((246, 98, 78), 28), ((255, 246, 117), 2), ((53, 57, 1), 1)]",536554,16.0,"(0, 0, 0)",89.28160073357016,"(59, 0, 0)",0.0643178505798111,"(122, 0, 0)",0.0206931641549592,"(255, 0, 0)",0.0112793866041442,"(255, 170, 111)",0.0027546155652553
